# Pause toggle, 2026-08-12, MacBookPro18,3. Pass 1 paused, pass 2 unpaused.
# Mic state (CoreAudio, device 90), 5 Hz:
14:42:32.124  device=90  live
14:42:51.338  device=90  MUTED
14:42:56.234  device=90  live
done
# Lid angle, 10 Hz:
14:43:12.734   126°  screens=1  raw: 01 7e 00
14:43:12.837   126°  screens=1  raw: 01 7e 00
14:43:12.940   126°  screens=1  raw: 01 7e 00
14:43:13.046   126°  screens=1  raw: 01 7e 00
14:43:13.152   126°  screens=1  raw: 01 7e 00
14:43:13.256   126°  screens=1  raw: 01 7e 00
14:43:13.362   126°  screens=1  raw: 01 7e 00
14:43:13.466   126°  screens=1  raw: 01 7e 00
14:43:13.570   126°  screens=1  raw: 01 7e 00
14:43:13.672   126°  screens=1  raw: 01 7e 00
14:43:13.778   126°  screens=1  raw: 01 7e 00
14:43:13.879   126°  screens=1  raw: 01 7e 00
14:43:13.984   126°  screens=1  raw: 01 7e 00
14:43:14.090   126°  screens=1  raw: 01 7e 00
14:43:14.194   126°  screens=1  raw: 01 7e 00
14:43:14.299   126°  screens=1  raw: 01 7e 00
14:43:14.406   126°  screens=1  raw: 01 7e 00
14:43:14.511   126°  screens=1  raw: 01 7e 00
14:43:14.615   126°  screens=1  raw: 01 7e 00
14:43:14.722   126°  screens=1  raw: 01 7e 00
14:43:14.828   126°  screens=1  raw: 01 7e 00
14:43:14.934   126°  screens=1  raw: 01 7e 00
14:43:15.040   126°  screens=1  raw: 01 7e 00
14:43:15.146   126°  screens=1  raw: 01 7e 00
14:43:15.250   126°  screens=1  raw: 01 7e 00
14:43:15.356   126°  screens=1  raw: 01 7e 00
14:43:15.458   126°  screens=1  raw: 01 7e 00
14:43:15.563   126°  screens=1  raw: 01 7e 00
14:43:15.666   126°  screens=1  raw: 01 7e 00
14:43:15.769   126°  screens=1  raw: 01 7e 00
14:43:15.876   126°  screens=1  raw: 01 7e 00
14:43:15.983   126°  screens=1  raw: 01 7e 00
14:43:16.088   126°  screens=1  raw: 01 7e 00
14:43:16.191   126°  screens=1  raw: 01 7e 00
14:43:16.297   126°  screens=1  raw: 01 7e 00
14:43:16.403   126°  screens=1  raw: 01 7e 00
14:43:16.507   126°  screens=1  raw: 01 7e 00
14:43:16.612   126°  screens=1  raw: 01 7e 00
14:43:16.718   126°  screens=1  raw: 01 7e 00
14:43:16.824   126°  screens=1  raw: 01 7e 00
14:43:16.930   126°  screens=1  raw: 01 7e 00
14:43:17.035   126°  screens=1  raw: 01 7e 00
14:43:17.138   126°  screens=1  raw: 01 7e 00
14:43:17.252   126°  screens=1  raw: 01 7e 00
14:43:17.358   126°  screens=1  raw: 01 7e 00
14:43:17.464   126°  screens=1  raw: 01 7e 00
14:43:17.570   126°  screens=1  raw: 01 7e 00
14:43:17.671   126°  screens=1  raw: 01 7e 00
14:43:17.781   126°  screens=1  raw: 01 7e 00
14:43:17.885   126°  screens=1  raw: 01 7e 00
14:43:17.992   126°  screens=1  raw: 01 7e 00
14:43:18.102   126°  screens=1  raw: 01 7e 00
14:43:18.208   126°  screens=1  raw: 01 7e 00
14:43:18.315   126°  screens=1  raw: 01 7e 00
14:43:18.420   126°  screens=1  raw: 01 7e 00
14:43:18.524   126°  screens=1  raw: 01 7e 00
14:43:18.630   126°  screens=1  raw: 01 7e 00
14:43:18.736   126°  screens=1  raw: 01 7e 00
14:43:18.843   126°  screens=1  raw: 01 7e 00
14:43:18.949   126°  screens=1  raw: 01 7e 00
14:43:19.053   126°  screens=1  raw: 01 7e 00
14:43:19.158   126°  screens=1  raw: 01 7e 00
14:43:19.261   126°  screens=1  raw: 01 7e 00
14:43:19.368   126°  screens=1  raw: 01 7e 00
14:43:19.471   126°  screens=1  raw: 01 7e 00
14:43:19.578   126°  screens=1  raw: 01 7e 00
14:43:19.683   126°  screens=1  raw: 01 7e 00
14:43:19.789   126°  screens=1  raw: 01 7e 00
14:43:19.894   126°  screens=1  raw: 01 7e 00
14:43:20.000   126°  screens=1  raw: 01 7e 00
14:43:20.113   126°  screens=1  raw: 01 7e 00
14:43:20.217   126°  screens=1  raw: 01 7e 00
14:43:20.323   126°  screens=1  raw: 01 7e 00
14:43:20.427   126°  screens=1  raw: 01 7e 00
